id,links_news,expert1,expert2,expert3,final,global_level,level_sentence_pt,sentence_en,comment,adequacy
1,https://recreio.com.br/noticias/entretenimento/typhoon-family-novo-teaser-mostra-o-impacto-da-crise-do-imf-em-lee-junho-e-kim-min-ha.phtml,FALSE,FALSE,FALSE,FALSE,0,,,"O texto não é adequado para uma avaliação em larga escala, pois aborda a temática de uma crise financeira que impactou a vida de muitas pessoas em uma determinada região. Além disso, apresenta vários termos e nomes estrangeiros que não fazem parte do repertório linguístico dos estudantes, o que pode comprometer a fluidez da leitura e a compreensão do texto.",no
2,https://recreio.com.br/noticias/entretenimento/supergirl-bruta-e-crua-entenda-a-inspiracao-da-roteirista-para-a-heroina-do-dcu.phtml,FALSE,FALSE,TRUE,TRUE,3,"2;""Supergirl """"bruta e crua"""": Entenda a inspiração da roteirista para a heroína do DCU A nova fase da heroína nos cinemas será inspirada na aclamada HQ 'Supergirl: Woman of Tomorrow' e vai explorar o peso do seu passado em Krypton A roteirista Ana Nogueira revelou o que a atraiu para a história de Supergirl no vindouro filme do DCU, """"Supergirl: Woman of Tomorrow"".""
2;""A atração pela Kara que reflete a tragédia A grande atração de Ana Nogueira pela personagem, e o que a fez se conectar com a história, reside no peso da tragédia do planeta natal de Kara.""
3;""""""Ela viu Krypton ser completamente destruído!""""""
3;""Sua jornada é interrompida quando ela se depara com uma tragédia e acaba se unindo à jovem Ruthye Marye Knoll em uma missão de vingança contra o assassino do pai da menina, um homem chamado Krem.""",,"O texto não é adequado pois há o uso excessivo de expressões em língua inglesa (nomes, personagens, locais, termos técnicos), o que dificulta a leitura e torna a avaliação da disciplina de língua portuguesa híbrida com a avaliação da disciplina de de língua inglesa..",no
3,https://recreio.com.br/noticias/entretenimento/quem-e-quem-em-genio-dos-desejos-novo-dorama-da-netflix.phtml,FALSE,FALSE,FALSE,FALSE,2,"2;""A RECREIO revela abaixo: Gênio — Kim Woo Bin Ator de """"Uncontrollably Fond"""" e """"Amor e Outros Dramas"""", Kim Woo Bin é quem dá vida ao Gênio, o qual ele descreve como um personagem """"enérgico, forte e, às vezes, cruel, mas também trivial, tímido e, ocasionalmente, até fofo, com uma ampla gama de charmes"""", como repercutido pelo portal Soompi.""
2;""Ka Young — Suzy Ex-integrante do miss A e atriz, Suzy, que esteve no elenco de tramas como """"Doona!"""" e """"Start-up"""", é a intérprete de Ka Young, uma garota com tendências psicopáticas que foi criada pela avó, a qual conseguiu ajudar a neta a controlar a falta de sentimentos como a empatia, remorso e culpa.""
2;""""""Ela não é gentil como as outras e é mais assustadora do que adorável, mas ao viver de acordo com as regras, ela acaba se tornando alguém que vive de forma mais justa do que qualquer outra pessoa"""", disse Suzy em declaração à imprensa sobre a personagem.""",,"O texto não é adequado para uma avaliação em larga escala, pois aborda temáticas sensíveis, como questões de cunho místico, religioso (menção a espíritos e ao diabo) e psicológico (falta de empatia e psicopatia). Além disso, faz menção a nomes de plataformas de streaming, o que não é recomendado. Também apresenta termos e nomes estrangeiros que não fazem parte do repertório linguístico dos estudantes, o que pode comprometer a fluidez da leitura e a compreensão do texto.",no
4,https://recreio.com.br/noticias/entretenimento/guerreiras-do-k-pop-netflix-comeca-promocao-para-o-oscar.phtml,FALSE,FALSE,FALSE,FALSE,0,,,"O texto não é adequado para uma avaliação em larga escala, pois sua temática central é a promoção de um filme ao Oscar pela plataforma de streaming Netflix. Como há menções recorrentes à plataforma ao longo do texto, não seria possível suprimir esses trechos sem comprometer o sentido geral.",no
5,https://recreio.com.br/noticias/entretenimento/guerreiras-do-k-pop-elenco-revela-impacto-do-k-pop-em-suas-vidas.phtml,FALSE,FALSE,FALSE,FALSE,0,,,"O texto é adequado para uma avaliação em larga escala; no entanto, a citação da plataforma de streaming Netflix e o trecho “... eu desmaiei em um show do BIGBANG quando tinha 12 anos!” devem ser fragmentados.",no
6,https://recreio.com.br/noticias/entretenimento/guerreiras-do-k-pop-2-diretores-surpreendem-ao-considerar-fanfics-e-teorias-para-a-trama.phtml,FALSE,FALSE,TRUE,TRUE,2,"2;""O filme, que acompanha o girl group HUNTR/X equilibrando a vida de idols com a missão secreta de caçar demônios, se tornou um fenômeno global e cultural.""
1;""Com a possibilidade de usar o material da comunidade, os diretores mostram que querem manter a proximidade com o público, que já está pensando em novos desafios e até reviravoltas para o universo, como o retorno de Jinu ou a exploração do lado demoníaco do pai de Rumi.""",,"O texto é adequado para uma avaliação em larga escala; no entanto, os trechos que mencionam a plataforma de streaming Netflix, a produtora Sony Pictures Animation, a rede social TikTok e as passagens “... e caçar demônios...”, “A fan fiction sugeria que a personagem Rumi, a protagonista do grupo, teria morrido na ilha de Juju e o final do primeiro filme seria uma ‘alucinação poética’ com seu espírito.” e “... lado demoníaco do pai de Rumi.” devem ser fragmentados.",parcially
7,https://recreio.com.br/noticias/entretenimento/estrela-dos-doramas-atriz-de-extraordinaria-voce-anuncia-casamento.phtml,FALSE,FALSE,FALSE,FALSE,1,"1;""Assim como a maioria dos alunos, ela existe para preencher as cenas de fundo e dar vida ao ambiente escolar, sendo completamente controlada pelo autor do quadrinho, sem ter a habilidade de agir ou falar por vontade própria no “Palco” da história.""",,,parcially
8,https://recreio.com.br/noticias/entretenimento/bang-chan-do-stray-kids-celebra-aniversario-com-mega-doacao-para-causas-humanitarias.phtml,FALSE,FALSE,FALSE,FALSE,0,,,"O texto relata uma ação de ""caridade"" promovido por um grupo musical coreano para ajudar famílias em ""situação de vulnerabilidade"", a abordagem é de exaltação da ação do grupo, em um tom parecido com uma propaganda da banda e dos membros do grupo musical e não como deveria ser uma cobertura jornalística isenta.",yes
9,https://recreio.com.br/noticias/entretenimento/a-cena-descartada-de-meninas-malvadas-que-quase-ninguem-conhece.phtml,FALSE,TRUE,TRUE,TRUE,3,"2;""A cena descartada de ‘Meninas Malvadas’ Na versão que foi para os cinemas, após Regina George (Rachel McAdams) descobrir que Cady Heron (Lindsay Lohan) estava tentando boicotá-la, ela divulga para toda a escola o Livro do Arraso, colocando a autoria na ex-amiga.""
3;""Quando Cady tenta conversar com ela do lado de fora da instituição, Regina é atropelada por um ônibus escolar, piorando ainda mais a reputação de Heron, já que todos os alunos passaram a acreditar que ela empurrou a líder das Poderosas em direção ao veículo.""",,"O texto é adequado para uma avaliação em larga escala; no entanto, os trechos “... Regina é atropelada por um ônibus escolar...” e “Meninas Malvadas (2004) está disponível para streaming no Mercado Play, Paramount+, Netflix, Globoplay, Prime Video e Apple TV” devem ser fragmentados.",no
10,https://recreio.com.br/noticias/natureza/velozes-e-furiosos-descubra-habilidades-secretas-dos-veados.phtml,FALSE,FALSE,FALSE,FALSE,2,"1;""Descubra as habilidades secretas dos veados Os veados parecem indefesos, mas têm habilidades secretas que os ajudam a fugir de predadores e viver na natureza; descubra algumas delas!""
1;""Eles precisam dessas habilidades todas porque são as presas favoritas de grandes caçadores, como lobos e onças, por não serem agressivos nem muito fortes.""
2;""Eles também brigam Esse grupo de animais inclui aproximadamente 40 espécies.""
2;""Eles servem para atrair as fêmeas e para enfrentar outros machos.""
2;""Assim, quando é preciso brigar por uma namorada, quem tem chifres maiores e mais fortes leva vantagem.""",,"O texto não é adequado para uma avaliação em larga escala, pois o uso do termo “veado” pode gerar interpretações conotativas inadequadas.",parcially
